,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
25,70021,OW,0.0169,0.0178,0.0326,0.0488,0.0396,0.0309,0.0226,0.0149,0.0714,0.2831,0.3596,0.3811,0.3486,0.3914,0.3686,0.283,0.3143,0.3174,0.2814,0.0675,0.0894,0.1102,0.1323,0.1381,0.1402,0.1239,0.0255,0.0395,0.0491,0.0553,0.0429,0.0357
26,70020,OW,0.0196,0.02,0.0315,0.0492,0.0365,0.0282,0.0223,0.0187,0.0731,0.4215,0.5408,0.5712,0.54,0.5846,0.5575,0.4383,0.4672,0.4698,0.427,0.1132,0.1495,0.1814,0.2119,0.2229,0.226,0.1994,0.0381,0.0634,0.0791,0.09,0.0694,0.0549
27,70006,OW,0.0091,0.0062,0.0044,0.0044,0.0047,0.0044,0.003,0.0017,0.0023,0.0091,0.0115,0.0122,0.0117,0.0128,0.013,0.0095,0.0112,0.0136,0.0128,0.0035,0.0041,0.0052,0.0066,0.0064,0.0072,0.0055,0.0027,0.0037,0.0031,0.0024,0.0031,0.003
28,70023,OW,0.0244,0.0248,0.0416,0.0611,0.0508,0.0446,0.0385,0.0265,0.1053,0.4367,0.5552,0.5864,0.5371,0.6018,0.5608,0.4178,0.4587,0.4635,0.408,0.0982,0.1288,0.1576,0.1844,0.1942,0.1985,0.1722,0.0342,0.0547,0.0687,0.0782,0.0584,0.0485
29,70019,OW,0.0193,0.0171,0.0272,0.0382,0.0304,0.0218,0.0176,0.0126,0.0526,0.2861,0.3866,0.4156,0.3962,0.4335,0.4107,0.3334,0.3649,0.3671,0.3265,0.0883,0.1172,0.1439,0.1662,0.1731,0.1791,0.1588,0.0326,0.0514,0.0643,0.0717,0.0571,0.0473
30,70007,OW,0.0165,0.0139,0.0235,0.0339,0.0268,0.0213,0.0175,0.0132,0.0538,0.3007,0.4056,0.4346,0.4081,0.4558,0.4341,0.3209,0.3536,0.3569,0.3139,0.0814,0.1073,0.1305,0.1511,0.158,0.162,0.1417,0.0286,0.0492,0.0603,0.0685,0.0541,0.0437
31,70024,OW,0.0221,0.0234,0.0413,0.0639,0.0551,0.0501,0.0437,0.0286,0.14,0.4963,0.5964,0.6246,0.5595,0.6292,0.5924,0.4384,0.4795,0.4831,0.4238,0.1019,0.1355,0.1659,0.1953,0.2052,0.2083,0.1816,0.0346,0.0549,0.067,0.0766,0.0624,0.0455
32,70025,OW,0.0211,0.0205,0.0371,0.0546,0.0431,0.033,0.0253,0.0165,0.0757,0.4071,0.5505,0.5812,0.5284,0.594,0.5558,0.4096,0.4534,0.4585,0.4026,0.0843,0.1141,0.1423,0.1704,0.1818,0.1842,0.1622,0.0279,0.0442,0.0581,0.0647,0.0506,0.0378
33,70018,OW,0.0145,0.0127,0.0206,0.0291,0.0215,0.016,0.0115,0.008,0.039,0.2473,0.3449,0.3647,0.3376,0.3813,0.3573,0.2626,0.2907,0.2973,0.259,0.0501,0.0686,0.0857,0.1022,0.1088,0.1116,0.0979,0.0146,0.0253,0.0333,0.0397,0.0285,0.0217
34,70008,OW,0.0077,0.0071,0.0093,0.0134,0.0096,0.0077,0.0048,0.0036,0.0189,0.1457,0.2196,0.2381,0.2177,0.249,0.2323,0.1648,0.1845,0.1886,0.1612,0.031,0.0412,0.0525,0.0625,0.0662,0.0663,0.0582,0.0099,0.0164,0.0204,0.0239,0.018,0.0141
35,70017,OW,0.02,0.0202,0.0383,0.0573,0.0442,0.0338,0.0244,0.0175,0.0851,0.4459,0.5754,0.6022,0.5685,0.62,0.5828,0.4666,0.5044,0.5097,0.4556,0.1145,0.1525,0.1901,0.2194,0.2321,0.2389,0.2106,0.0374,0.0638,0.0799,0.0911,0.0709,0.0568
36,70026,OW,0.0161,0.015,0.0247,0.0336,0.0271,0.0204,0.0158,0.0112,0.0462,0.2713,0.3793,0.3966,0.3604,0.4074,0.3779,0.278,0.3142,0.3143,0.2748,0.0582,0.0774,0.0991,0.1169,0.126,0.1279,0.1105,0.0185,0.0303,0.0389,0.047,0.0358,0.0281
37,70009,OW,0.0389,0.0433,0.0653,0.0856,0.0798,0.0723,0.0665,0.0573,0.1365,0.3167,0.374,0.4173,0.4381,0.4721,0.4586,0.4215,0.4498,0.4556,0.4265,0.1994,0.2347,0.2638,0.2958,0.3033,0.3095,0.2835,0.1197,0.1409,0.1575,0.1685,0.1376,0.1199
38,70030,OW,0.0192,0.0186,0.0326,0.0462,0.035,0.0262,0.0206,0.0174,0.0797,0.3981,0.5167,0.5487,0.5288,0.5717,0.5313,0.4647,0.5053,0.5109,0.459,0.1683,0.2107,0.2449,0.276,0.283,0.286,0.2569,0.0685,0.102,0.1195,0.1315,0.1099,0.088
39,70016,OW,0.0148,0.0152,0.0255,0.0379,0.0298,0.0235,0.0178,0.0136,0.0564,0.2941,0.4012,0.4243,0.4047,0.4425,0.4165,0.338,0.3701,0.3734,0.3348,0.0963,0.1236,0.1454,0.1669,0.1726,0.1769,0.1543,0.0363,0.0536,0.0618,0.0701,0.0566,0.0468
40,70029,OW,0.0062,0.0052,0.008,0.0103,0.0064,0.0034,0.0012,0.0008,0.0111,0.1095,0.1702,0.1886,0.1772,0.2085,0.1986,0.1374,0.158,0.1623,0.142,0.0184,0.0276,0.0367,0.0459,0.0499,0.052,0.0424,0.0045,0.0083,0.011,0.0149,0.013,0.0094
41,70010,OW,0.0054,0.0044,0.0082,0.0115,0.0086,0.0048,0.0035,0.0017,0.0166,0.1344,0.2075,0.233,0.2132,0.251,0.2394,0.1629,0.1836,0.188,0.1615,0.026,0.0355,0.0462,0.056,0.0602,0.0617,0.0527,0.0084,0.0131,0.0156,0.0196,0.0144,0.0121
42,70027,OW,0.02,0.0213,0.0327,0.0441,0.0361,0.03,0.024,0.0186,0.0612,0.2584,0.3422,0.3603,0.3425,0.3789,0.3553,0.282,0.3135,0.3129,0.2821,0.0742,0.0965,0.1175,0.1371,0.1442,0.1469,0.131,0.0283,0.044,0.0534,0.0625,0.0494,0.0368
43,70032,OW,0.0539,0.0537,0.0497,0.0493,0.0423,0.0449,0.0514,0.0551,0.0572,0.0652,0.0699,0.0756,0.0912,0.0988,0.0973,0.0995,0.104,0.1059,0.1054,0.0969,0.1006,0.1003,0.1064,0.1047,0.1051,0.1002,0.1015,0.1067,0.1058,0.1066,0.085,0.0874
44,70015,OW,0.0075,0.0057,0.0071,0.0113,0.0081,0.0061,0.0037,0.0026,0.0145,0.1488,0.2233,0.2462,0.2371,0.266,0.2542,0.1888,0.2104,0.2175,0.1926,0.0308,0.0445,0.0576,0.0732,0.0777,0.0798,0.0691,0.0099,0.0169,0.0214,0.0258,0.0195,0.0142
45,70028,OW,0.0168,0.017,0.0285,0.0411,0.0328,0.0264,0.0205,0.0166,0.0652,0.3203,0.4234,0.4561,0.4432,0.4878,0.4611,0.3898,0.427,0.4305,0.3864,0.117,0.1521,0.1808,0.2076,0.2174,0.2196,0.1938,0.0469,0.0673,0.0803,0.0901,0.0722,0.0591
46,70031,OW,0.023,0.0244,0.0365,0.0494,0.0428,0.0375,0.0359,0.0299,0.0805,0.3307,0.4388,0.4881,0.483,0.5335,0.5052,0.4292,0.4754,0.4895,0.4436,0.125,0.1593,0.1899,0.217,0.2271,0.2285,0.1997,0.0525,0.0669,0.0759,0.0888,0.0694,0.0584
47,70011,OW,0.021,0.022,0.0411,0.0642,0.0493,0.0381,0.0283,0.0205,0.1061,0.5103,0.6613,0.7138,0.6982,0.7575,0.7116,0.5969,0.6411,0.6446,0.5825,0.1844,0.2369,0.2784,0.3182,0.3302,0.339,0.3021,0.0705,0.1109,0.1302,0.1429,0.1179,0.0974
48,70014,OW,0.029,0.0316,0.0673,0.1028,0.0812,0.063,0.0463,0.0299,0.133,0.5198,0.6534,0.7016,0.6879,0.7479,0.7082,0.6006,0.6419,0.6444,0.5801,0.1845,0.2406,0.2863,0.3305,0.3443,0.3585,0.3221,0.0739,0.1167,0.1438,0.1566,0.1298,0.1059
49,70013,OW,0.017,0.0157,0.0229,0.0345,0.0288,0.0233,0.0193,0.0146,0.0579,0.3245,0.4549,0.4899,0.4632,0.5063,0.4802,0.3807,0.4231,0.4313,0.386,0.093,0.1213,0.1473,0.1726,0.1834,0.1854,0.1597,0.032,0.0478,0.0563,0.0655,0.0512,0.0382
50,70012,OW,0.0409,0.0431,0.0451,0.0533,0.0672,0.0796,0.0878,0.0902,0.0981,0.1095,0.1179,0.1213,0.1286,0.1381,0.1348,0.1415,0.1518,0.154,0.1471,0.1404,0.1458,0.1437,0.149,0.1457,0.1483,0.1406,0.1321,0.1361,0.135,0.135,0.1244,0.1223
