,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
20,70062,EF,0.0134,0.0114,0.0209,0.0316,0.0241,0.0186,0.0143,0.0107,0.0506,0.2688,0.3628,0.3991,0.385,0.4287,0.3967,0.3182,0.3525,0.3554,0.3119,0.0898,0.1179,0.1404,0.1609,0.167,0.1706,0.1478,0.0343,0.0527,0.0623,0.0713,0.057,0.0466
21,70063,EF,0.0154,0.0147,0.0242,0.036,0.0276,0.021,0.017,0.0126,0.054,0.3027,0.4083,0.4374,0.418,0.4595,0.426,0.3446,0.3826,0.3824,0.3381,0.1036,0.134,0.1589,0.1826,0.1895,0.1916,0.1669,0.0386,0.0596,0.0712,0.0809,0.0643,0.0506
22,70064,EF,0.0152,0.0143,0.0264,0.0409,0.0309,0.0247,0.0181,0.0134,0.0713,0.3552,0.4685,0.5043,0.4916,0.5399,0.4983,0.4105,0.4508,0.4516,0.391,0.123,0.1592,0.1883,0.2148,0.2214,0.2265,0.1957,0.0439,0.0671,0.0798,0.0903,0.0732,0.0564
23,70065,EF,0.0184,0.0178,0.0371,0.0587,0.0466,0.0355,0.0257,0.0172,0.0912,0.3759,0.4703,0.509,0.4908,0.5433,0.5037,0.406,0.448,0.4488,0.3974,0.1129,0.1496,0.1798,0.2063,0.218,0.2217,0.1954,0.0421,0.0659,0.0801,0.0901,0.0725,0.0589
24,70066,EF,0.0232,0.0231,0.0452,0.0741,0.057,0.0428,0.0322,0.0229,0.1244,0.5301,0.6726,0.7265,0.7024,0.7697,0.7113,0.5983,0.6562,0.6572,0.5799,0.1856,0.2416,0.2861,0.3282,0.337,0.3465,0.3025,0.0676,0.1049,0.1259,0.142,0.1137,0.0893
25,70067,EF,0.0152,0.0147,0.0273,0.0425,0.0332,0.0252,0.0183,0.0125,0.0638,0.3188,0.4301,0.4691,0.4414,0.4977,0.4635,0.3592,0.3965,0.3998,0.3457,0.0869,0.1164,0.143,0.1663,0.1738,0.1773,0.1547,0.0319,0.0493,0.0598,0.0683,0.0547,0.0417
26,70068,EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,70069,EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,70071,EF,0.0041,0.0019,0.0031,0.0043,0.0031,0.0019,0.0018,0.0001,0.0053,0.0706,0.1214,0.1406,0.1348,0.1618,0.1502,0.103,0.122,0.1255,0.1075,0.0143,0.021,0.0279,0.0337,0.0375,0.0379,0.0312,0.0049,0.0061,0.0089,0.0111,0.0082,0.0071
29,70070,EF,0.0124,0.0123,0.0208,0.0286,0.0234,0.0204,0.017,0.0128,0.0468,0.2673,0.4008,0.4433,0.4242,0.4816,0.4446,0.3437,0.3941,0.3996,0.3428,0.0769,0.102,0.1259,0.149,0.1584,0.1581,0.134,0.0273,0.0399,0.047,0.0574,0.0411,0.0317
30,70051,EF,0.0099,0.0073,0.0113,0.0172,0.0132,0.0097,0.0077,0.0061,0.0239,0.1562,0.2262,0.251,0.2397,0.276,0.2609,0.1976,0.2181,0.2221,0.2,0.0437,0.059,0.0739,0.087,0.0929,0.095,0.0819,0.0171,0.0266,0.0322,0.0368,0.0286,0.0237
31,70053,EF,0.0126,0.0139,0.0225,0.034,0.0261,0.0202,0.017,0.013,0.0563,0.3578,0.4981,0.5456,0.5193,0.5793,0.5458,0.4313,0.4769,0.4822,0.4261,0.1052,0.1411,0.1726,0.2016,0.2106,0.2154,0.1872,0.037,0.057,0.0681,0.0795,0.0631,0.0486
32,70052,EF,0.0455,0.0552,0.0653,0.0788,0.0796,0.082,0.088,0.0905,0.1292,0.2094,0.2486,0.2904,0.3241,0.3557,0.35,0.3515,0.3854,0.3982,0.3845,0.2424,0.2729,0.2906,0.3215,0.3291,0.3312,0.3023,0.1824,0.1813,0.1937,0.2059,0.1621,0.1487
33,70055,EF,0.0124,0.0117,0.0212,0.0319,0.0237,0.0184,0.0137,0.011,0.0509,0.3087,0.4322,0.4816,0.4714,0.5281,0.4957,0.3912,0.4334,0.4386,0.3899,0.0981,0.1294,0.1587,0.184,0.194,0.1964,0.1699,0.0357,0.0544,0.0659,0.0749,0.0585,0.0473
34,70054,EF,0.0424,0.0475,0.0628,0.082,0.0761,0.0713,0.072,0.0682,0.1259,0.2691,0.3186,0.3478,0.3635,0.3889,0.3764,0.3637,0.3928,0.4003,0.3777,0.2036,0.2395,0.266,0.296,0.3049,0.3111,0.2868,0.139,0.1502,0.1681,0.1815,0.1456,0.1288
