,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
82,398,PH,0.0353,0.0401,0.0559,0.0729,0.0695,0.0659,0.0626,0.0586,0.1171,0.2638,0.3145,0.353,0.3703,0.3999,0.3856,0.3581,0.384,0.3916,0.3641,0.1687,0.1979,0.2203,0.2499,0.259,0.2642,0.2422,0.1071,0.1226,0.1371,0.1458,0.1201,0.1056
83,282,PH,0.0173,0.0178,0.0356,0.055,0.0434,0.0341,0.026,0.0183,0.0922,0.4287,0.5632,0.6078,0.5992,0.6719,0.6325,0.4944,0.5398,0.5488,0.487,0.1245,0.1647,0.1986,0.2315,0.2409,0.2469,0.2143,0.0445,0.0682,0.083,0.0947,0.0735,0.0594
84,1294,PH,0.0557,0.0567,0.0549,0.0598,0.0632,0.0656,0.0684,0.0697,0.0691,0.0693,0.0716,0.069,0.0671,0.0694,0.0695,0.0761,0.0791,0.0794,0.0773,0.076,0.0782,0.0768,0.0797,0.0782,0.0797,0.0764,0.07,0.0731,0.0724,0.0707,0.0652,0.0602
85,4378,PH,0.009,0.008,0.0136,0.0191,0.0146,0.0104,0.0069,0.0047,0.0228,0.0822,0.1001,0.1067,0.106,0.1176,0.1131,0.0858,0.0933,0.0948,0.0852,0.0179,0.0246,0.0305,0.0366,0.0387,0.0407,0.0359,0.0065,0.0108,0.0145,0.016,0.0126,0.0098
86,538,PH,0.0047,0.003,0.0061,0.0076,0.005,0.0042,0.0015,0.0,0.0091,0.104,0.1731,0.1973,0.1838,0.2163,0.2025,0.1368,0.1586,0.1629,0.1386,0.0165,0.0252,0.035,0.0429,0.0472,0.0485,0.04,0.0045,0.0082,0.0117,0.0129,0.0089,0.0068
87,4494,PH,0.0127,0.0119,0.02,0.0255,0.0205,0.0162,0.0131,0.0084,0.0314,0.151,0.2032,0.2232,0.2065,0.24,0.2269,0.1563,0.1802,0.1861,0.1621,0.0325,0.0421,0.0516,0.0621,0.0662,0.0665,0.0564,0.0131,0.0184,0.0231,0.0254,0.0189,0.0153
88,1806,PH,0.0186,0.0185,0.0262,0.036,0.0313,0.0286,0.0252,0.0204,0.0556,0.2133,0.2865,0.3152,0.3121,0.349,0.3289,0.2762,0.312,0.3179,0.2848,0.0897,0.1117,0.1318,0.1504,0.1575,0.1596,0.138,0.0474,0.0574,0.0649,0.0734,0.0553,0.0481
89,2778,PH,0.0061,0.0043,0.0073,0.0105,0.0079,0.0052,0.0043,0.0018,0.0157,0.125,0.1887,0.2151,0.2089,0.2399,0.2277,0.1721,0.1976,0.2041,0.179,0.0314,0.0449,0.0574,0.0687,0.0737,0.0758,0.0638,0.0106,0.0159,0.0209,0.0252,0.019,0.014
90,1422,PH,0.0067,0.0078,0.0126,0.0174,0.0146,0.0122,0.01,0.0067,0.0298,0.1243,0.1681,0.1878,0.1756,0.2045,0.1945,0.1445,0.1622,0.1652,0.1462,0.0335,0.0453,0.054,0.0639,0.0679,0.069,0.0584,0.0135,0.0203,0.0238,0.0271,0.0218,0.0177
91,1306,PH,0.022,0.0223,0.0446,0.0693,0.0568,0.0458,0.0343,0.0245,0.1214,0.4334,0.5395,0.5986,0.6002,0.6576,0.6202,0.5386,0.5902,0.5957,0.5377,0.1825,0.2317,0.271,0.3084,0.3187,0.3242,0.2843,0.0793,0.108,0.1251,0.1427,0.1136,0.0904
92,2446,PH,0.0295,0.0324,0.0487,0.065,0.0584,0.0514,0.0488,0.044,0.1007,0.2789,0.3477,0.3887,0.3994,0.4386,0.4176,0.3782,0.4156,0.4245,0.3826,0.1569,0.194,0.2237,0.253,0.2625,0.2699,0.2409,0.0921,0.112,0.1261,0.138,0.1125,0.0964
93,2830,PH,0.0147,0.0133,0.0205,0.0321,0.025,0.0207,0.0164,0.0136,0.0526,0.2666,0.3732,0.4175,0.4134,0.4627,0.4319,0.3572,0.4009,0.4068,0.3638,0.1041,0.1335,0.1591,0.1838,0.1916,0.1921,0.1645,0.0437,0.0567,0.0667,0.0776,0.0578,0.0472
94,2330,PH,0.0067,0.0055,0.0112,0.0175,0.0132,0.0098,0.0062,0.0038,0.0287,0.1437,0.2,0.224,0.2191,0.2516,0.2341,0.1824,0.2084,0.2126,0.1833,0.0415,0.0581,0.0709,0.0844,0.0891,0.091,0.0777,0.0155,0.0249,0.0295,0.0365,0.0256,0.0221
95,1594,PH,0.015,0.0142,0.0228,0.0331,0.0268,0.0215,0.0165,0.0117,0.0488,0.3114,0.4586,0.5072,0.4736,0.5318,0.4908,0.3717,0.4133,0.4173,0.3629,0.0794,0.1064,0.1313,0.1528,0.1616,0.1649,0.1417,0.027,0.042,0.0512,0.0571,0.0446,0.0353
96,1146,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,58,PH,0.0135,0.012,0.0222,0.0328,0.025,0.0208,0.0161,0.0112,0.0494,0.2779,0.3938,0.4269,0.4129,0.4571,0.4236,0.3351,0.3814,0.389,0.3396,0.0815,0.109,0.1324,0.1565,0.1654,0.1663,0.1412,0.0286,0.043,0.0509,0.0624,0.0473,0.0373
98,2170,PH,0.0162,0.0148,0.0238,0.0337,0.0247,0.0187,0.0153,0.0125,0.0474,0.2273,0.3129,0.3479,0.3361,0.3742,0.354,0.2746,0.31,0.3097,0.27,0.073,0.0969,0.1147,0.1352,0.1427,0.1415,0.1267,0.0295,0.044,0.053,0.0608,0.0491,0.0408
99,3194,PH,0.0136,0.0113,0.0156,0.0231,0.0168,0.0134,0.011,0.0082,0.0324,0.2164,0.3185,0.3514,0.3333,0.3752,0.3471,0.2613,0.2948,0.299,0.2581,0.0561,0.0764,0.0951,0.1128,0.1195,0.1214,0.1038,0.0182,0.0296,0.0371,0.0432,0.0325,0.0255
